T/s,I_se/nA,Spalte1,I_P/nA,Type
2.00E-01,6.88E-02,3.05E-01,0.225644319,$\mathit{I}_\mathrm{EBIC}$
2.50E-01,7.10E-02,2.94E-01,0.241156056,$\mathit{I}_\mathrm{EBIC}$
3.00E-01,7.32E-02,2.96E-01,0.247608105,$\mathit{I}_\mathrm{EBIC}$
3.50E-01,7.54E-02,2.87E-01,0.262684773,$\mathit{I}_\mathrm{EBIC}$
4.00E-01,7.76E-02,2.88E-01,0.269422336,$\mathit{I}_\mathrm{EBIC}$
4.50E-01,7.99E-02,3.03E-01,0.263274769,$\mathit{I}_\mathrm{EBIC}$
5.00E-01,8.21E-02,3.00E-01,0.273627076,$\mathit{I}_\mathrm{EBIC}$
5.50E-01,8.43E-02,3.06E-01,0.275235129,$\mathit{I}_\mathrm{EBIC}$
6.00E-01,8.65E-02,2.93E-01,0.295082064,$\mathit{I}_\mathrm{EBIC}$
6.50E-01,8.87E-02,2.99E-01,0.297216603,$\mathit{I}_\mathrm{EBIC}$
7.00E-01,9.10E-02,2.89E-01,0.31451658,$\mathit{I}_\mathrm{EBIC}$
7.50E-01,9.32E-02,2.99E-01,0.312089692,$\mathit{I}_\mathrm{EBIC}$
8.00E-01,9.54E-02,2.95E-01,0.323540821,$\mathit{I}_\mathrm{EBIC}$
8.50E-01,9.76E-02,3.05E-01,0.320622307,$\mathit{I}_\mathrm{EBIC}$
9.00E-01,9.99E-02,2.89E-01,0.345043734,$\mathit{I}_\mathrm{EBIC}$
9.50E-01,1.02E-01,2.98E-01,0.342496885,$\mathit{I}_\mathrm{EBIC}$
1.00E+00,1.04E-01,3.05E-01,0.342027779,$\mathit{I}_\mathrm{EBIC}$
1.05E+00,1.07E-01,3.03E-01,0.351202573,$\mathit{I}_\mathrm{EBIC}$
1.10E+00,1.09E-01,3.02E-01,0.359701759,$\mathit{I}_\mathrm{EBIC}$
1.15E+00,1.11E-01,2.93E-01,0.378776448,$\mathit{I}_\mathrm{EBIC}$
